DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Feb-2026,EQ,"34.00","34.12","33.76","34.25","33.94","33.94","33.97","45.09","33.55",5717816,"19,42,57,892.82",20401
19-Feb-2026,EQ,"34.65","34.81","34.05","34.64","34.12","34.25","34.40","45.09","33.55",7232440,"24,88,28,804.64",23078
18-Feb-2026,EQ,"34.15","34.90","33.86","34.03","34.83","34.64","34.35","45.09","33.55",9266940,"31,83,20,233.56",23318
17-Feb-2026,EQ,"33.88","34.99","33.62","33.92","34.15","34.03","34.27","45.09","33.55",17178843,"58,88,00,932.51",42529
16-Feb-2026,EQ,"35.25","35.26","33.55","35.25","33.91","33.92","34.26","45.09","33.55",17403880,"59,63,03,408.29",56184
13-Feb-2026,EQ,"35.49","35.74","35.10","36.03","35.35","35.25","35.45","45.09","35.09",11926406,"42,28,22,574.78",36998
12-Feb-2026,EQ,"36.60","36.60","35.80","36.69","35.99","36.03","36.24","45.09","35.09",8157678,"29,56,48,562.57",31440
11-Feb-2026,EQ,"36.95","37.10","36.51","36.85","36.69","36.69","36.75","45.09","35.09",9497348,"34,90,21,044.88",26232
10-Feb-2026,EQ,"36.78","37.11","36.42","36.61","36.93","36.85","36.75","45.09","35.09",11882851,"43,66,93,730.19",29875
09-Feb-2026,EQ,"37.50","37.58","36.50","37.04","36.66","36.61","36.81","45.09","35.09",16783982,"61,77,60,949.87",42537
06-Feb-2026,EQ,"37.50","37.72","36.85","37.43","37.15","37.04","37.10","45.09","35.09",12409757,"46,03,89,829.20",31291
05-Feb-2026,EQ,"37.63","38.15","37.25","37.46","37.43","37.43","37.48","45.09","35.09",16848811,"63,14,43,612.10",37124
04-Feb-2026,EQ,"36.10","38.10","36.10","38.71","37.58","37.46","37.33","45.09","35.09",45277265,"1,69,02,08,410.65",82403
03-Feb-2026,EQ,"40.00","40.80","37.12","38.71","37.83","38.71","39.23","45.09","35.09",36306168,"1,42,44,23,211.00",63478
02-Feb-2026,EQ,"39.18","39.25","37.80","39.23","39.06","38.71","38.42","45.09","35.09",28264905,"1,08,59,64,573.81",53957
01-Feb-2026,EQ,"40.00","41.74","38.17","39.82","39.21","39.23","40.23","45.09","35.09",65870345,"2,64,97,68,256.27",116702
30-Jan-2026,EQ,"38.08","41.88","37.80","38.02","39.79","39.82","40.34","45.09","35.09",156252681,"6,30,39,31,621.23",215765
29-Jan-2026,EQ,"37.09","39.00","36.43","37.18","38.08","38.02","37.52","45.09","35.09",84812609,"3,18,23,04,974.33",119093
28-Jan-2026,EQ,"38.19","38.86","36.82","37.73","37.05","37.18","37.87","45.09","35.09",75489206,"2,85,84,18,016.38",118031
27-Jan-2026,EQ,"36.55","38.00","35.09","36.55","37.85","37.73","36.85","45.09","35.09",131538802,"4,84,76,40,381.34",201608
23-Jan-2026,EQ,"38.94","38.95","36.15","38.94","36.50","36.55","37.48","45.09","36.15",81632463,"3,05,96,25,038.62",167199
22-Jan-2026,EQ,"40.20","40.95","38.67","39.10","38.84","38.94","39.58","45.09","38.27",81826431,"3,23,84,29,901.49",141058
21-Jan-2026,EQ,"41.40","42.27","38.27","40.71","39.50","39.10","39.58","45.09","38.27",227367877,"9,00,00,73,133.50",377123
20-Jan-2026,EQ,"40.75","43.45","40.14","40.58","40.47","40.71","41.91","45.09","40.12",295990371,"12,40,44,37,281.23",486545
19-Jan-2026,EQ,"45.00","45.09","40.12","23.00","40.28","40.58","42.20","45.09","40.12",738039378,"31,14,71,67,427.67",1223374
